site,PlotID,year,pre_post_fire,postTime,OBS,Species,Status,Lifeform,TSE#(by plot by sp.),TSE_HT_m(Of Tallest),TSE_Age(Of Tallest),TSA_DBH,TSA_Age,TSA_HT(m),TSA_cohort_ct,#resp,TRE# (by plot by sp.),TRE_HT_m(of tallest),TRE_Age(Of Tallest),NOTES,
independence,Indy38,2020,prefire,NA,,ABCO,live,TSE,1,0.1,1,na,na,na,,,na,na,na,,
independence,Indy38,2020,prefire,NA,,ABCO,live,TSE,6,0.1,5,na,na,na,,,na,na,na,,
independence,Indy38,2020,prefire,NA,,ABCO,live,TSE,3,0.1,4,na,na,na,,,na,na,na,,
independence,Indy38,2020,prefire,NA,,ABCO,live,TSE,3,0.1,7,na,na,na,,,na,na,na,,
independence,Indy38,2020,prefire,NA,,ABCO,live,TSE,1,0.1,6,na,na,na,,,na,na,na,,
independence,Indy38,2020,prefire,NA,,ABCO,live,TSE,1,0.1,3,na,na,na,,,na,na,na,"ABCO tsa @ d 7m, 2.5m h",
independence,Indy38,2020,prefire,NA,,ABMA,live,TSE,1,0.1,2,na,na,na,,,na,na,na,"ABMA tsa @ d 7m, 3.1m h",
independence,Indy38,2020,prefire,NA,,PIJE,live,TSE,1,0.2,9,na,na,na,,,na,na,na,browsed,
independence,Indy39,2020,prefire,NA,,ABCO,live,TSE,6,na,1,na,na,na,,,na,na,na,,
independence,Indy39,2020,prefire,NA,,ABCO,live,TSE,6,na,2,na,na,na,,,na,na,na,,
independence,Indy39,2020,prefire,NA,,ABCO,live,TSE,1,na,3,na,na,na,,,na,na,na,,
independence,Indy39,2020,prefire,NA,,ABCO,live,TSE,1,na,4,na,na,na,,,na,na,na,,
independence,Indy39,2020,prefire,NA,,ABCO,live,TSE,1,na,7,na,na,na,,,na,na,na,,
independence,Indy39,2020,prefire,NA,,ABCO,live,TSE,2,na,8,na,na,na,,,na,na,na,,
independence,Indy39,2020,prefire,NA,,ABCO,live,TSE,15,na,>10,na,na,na,,,na,na,na,,
independence,Indy39,2020,prefire,NA,,ABCO,live,TSA,na,na,na,5.4,>30,2.2,,,na,na,na,,
independence,Indy40,2020,prefire,NA,,PIJE,live,TSE,1,0.1,1,na,na,na,,,na,na,na,"PICO tse - none in vicinity; ABCO tse @ d 28m, h .4, a 10; ABMA tse - none in vicinity",
klamath,KLAMATH001,2021,prefire,NA,,arbmen,live,TSE,2,0.1,>1,na,na,na,,,na,na,,,
klamath,KLAMATH001,2021,prefire,NA,,arbmen,live,TSE,1,0.3,>1,na,na,na,,,na,na,,,
