location,plot_id,species_id,status,mean_dbh,mean_ht,total_trees_acre,diameter_class
SlyPark,hcp6,psme,live,57,21.5,20,5
SlyPark,hcp7,pipo,live,34.64,18,100,4
SlyPark,hcp8,pipo,live,34.21428571,18,70,4
SlyPark,hcp9,cade,live,46.96666667,19,30,5
SlyPark,hcp9,pipo,live,56.85,28.5,20,5
SlyPark,hcp9,psme,live,59.8,22,10,5
SlyPark,hcp9,quke,live,51,14,10,5
SlyPark,hcp9,quke,live,48.88,16.58,50,5
SlyPark,spi1,cade,live,12.08,7.74,50,3
SlyPark,spi1,pipo,live,38.45909091,18.81818182,110,4
SlyPark,spi10,pipo,live,42.75,20.36,100,4
SlyPark,spi11,cade,live,49.4,17,10,5
SlyPark,spi11,pipo,live,36.67857143,19.28571429,140,4
SlyPark,spi11,psme,live,26.9,12.7,10,4
SlyPark,spi11,quke,live,30.775,18,40,4
SlyPark,spi11,unk,dead,16.8,,10,3
SlyPark,spi2,pipo,live,34.69333333,21.8,150,4
SlyPark,spi3,cade,live,81.8,29,10,6
SlyPark,spi3,psme,live,70.9,26,10,5
SlyPark,spi4,abco,live,62.3,32,10,5
SlyPark,spi4,cade,live,46,21,20,5
SlyPark,spi5,abco,live,31.5,18,10,4
SlyPark,spi5,cade,live,62.83333333,25,30,5
SlyPark,spi6,abco,live,62.4,35,10,5
SlyPark,spi6,cade,live,77.7,28.5,20,6
SlyPark,spi6,psme,live,84.6,38,10,6
SlyPark,spi6,quke,dead,85.9,9,10,6
SlyPark,spi7,pipo,live,41.17727273,20.27272727,110,4
SlyPark,spi8,pipo,live,37.01111111,17.22222222,90,4
SlyPark,spi9,pipo,live,40.74444444,18.65555556,90,4
SpringsFire,springs1,pije,live,40.99090909,14.19090909,110,4
