plot_id,location,mass,fuel_size
springs21,SpringsFire,0.818262743,mass_cwd_rotten
springs22,SpringsFire,0.065397069,mass_1hr
springs22,SpringsFire,1.112568234,mass_10hr
springs22,SpringsFire,1.660190488,mass_100hr
springs22,SpringsFire,0.3930981,mass_cwd_sound
springs22,SpringsFire,0.056588018,mass_cwd_rotten
springs23,SpringsFire,0.00363317,mass_1hr
springs23,SpringsFire,0.417213088,mass_10hr
springs23,SpringsFire,0.276698415,mass_100hr
springs23,SpringsFire,0,mass_cwd_sound
springs23,SpringsFire,0,mass_cwd_rotten
springs24,SpringsFire,0.007266341,mass_1hr
springs24,SpringsFire,0.208606544,mass_10hr
springs24,SpringsFire,0.553396829,mass_100hr
springs24,SpringsFire,0.196171796,mass_cwd_sound
springs24,SpringsFire,0,mass_cwd_rotten
springs25,SpringsFire,0.101728774,mass_1hr
springs25,SpringsFire,1.251639263,mass_10hr
springs25,SpringsFire,0.276698415,mass_100hr
springs25,SpringsFire,0,mass_cwd_sound
springs25,SpringsFire,1.372259441,mass_cwd_rotten
springs26,SpringsFire,0.061763898,mass_1hr
springs26,SpringsFire,1.80792338,mass_10hr
springs26,SpringsFire,1.383492073,mass_100hr
springs26,SpringsFire,0.745830079,mass_cwd_sound
springs26,SpringsFire,0,mass_cwd_rotten
springs27,SpringsFire,0.112628285,mass_1hr
springs27,SpringsFire,1.112568234,mass_10hr
springs27,SpringsFire,0,mass_100hr
springs27,SpringsFire,0,mass_cwd_sound
springs27,SpringsFire,0,mass_cwd_rotten
springs28,SpringsFire,0.021799023,mass_1hr
springs28,SpringsFire,0.069535515,mass_10hr
springs28,SpringsFire,1.936888902,mass_100hr
springs28,SpringsFire,0,mass_cwd_sound
springs28,SpringsFire,0,mass_cwd_rotten
springs29,SpringsFire,0.014532682,mass_1hr
springs29,SpringsFire,0.973497205,mass_10hr
springs29,SpringsFire,1.660190488,mass_100hr
springs29,SpringsFire,0.166746027,mass_cwd_sound
springs29,SpringsFire,0,mass_cwd_rotten
springs3,SpringsFire,0.014532682,mass_1hr
springs3,SpringsFire,0.695355146,mass_10hr
springs3,SpringsFire,1.660190488,mass_100hr
springs3,SpringsFire,0,mass_cwd_sound
springs3,SpringsFire,0,mass_cwd_rotten
springs30,SpringsFire,0.00363317,mass_1hr
springs30,SpringsFire,1.04303272,mass_10hr
springs30,SpringsFire,0.830095244,mass_100hr
springs30,SpringsFire,0.048288442,mass_cwd_sound
springs30,SpringsFire,0,mass_cwd_rotten
springs31,SpringsFire,0.010899511,mass_1hr
springs31,SpringsFire,1.182103749,mass_10hr
springs31,SpringsFire,0.276698415,mass_100hr
springs31,SpringsFire,0,mass_cwd_sound
springs31,SpringsFire,0,mass_cwd_rotten
springs37,SpringsFire,0.043598046,mass_1hr
springs37,SpringsFire,1.112568234,mass_10hr
springs37,SpringsFire,0.276698415,mass_100hr
springs37,SpringsFire,0,mass_cwd_sound
springs37,SpringsFire,0,mass_cwd_rotten
springs38,SpringsFire,0.025432193,mass_1hr
springs38,SpringsFire,0.556284117,mass_10hr
springs38,SpringsFire,0.553396829,mass_100hr
springs38,SpringsFire,0.036970839,mass_cwd_sound
springs38,SpringsFire,0,mass_cwd_rotten
springs39,SpringsFire,0.039964875,mass_1hr
springs39,SpringsFire,0,mass_10hr
