"","site","plotid","pre_post_fire","year","diamclass","n_trees_diamclass","n_trees_diamclass_acre","n_trees_diamclass_ha"
"3263","springsfire","springs44","prefire","2020","[>100]",0,0,0
"3264","springsfire","springs44","prefire","2020","[80-100]",0,0,0
"3265","sugarpinesp","sugarpine1","prefire","2020","[60-80]",4,40,98.842
"3266","sugarpinesp","sugarpine1","prefire","2020","[20-40]",3,30,74.1315
"3267","sugarpinesp","sugarpine1","prefire","2020","[<20]",1,10,24.7105
"3268","sugarpinesp","sugarpine1","prefire","2020","[40-60]",3,30,74.1315
"3269","sugarpinesp","sugarpine1","prefire","2020","[>100]",0,0,0
"3270","sugarpinesp","sugarpine1","prefire","2020","[80-100]",0,0,0
"3271","sugarpinesp","sugarpine2","prefire","2020","[60-80]",0,0,0
"3272","sugarpinesp","sugarpine2","prefire","2020","[20-40]",1,10,24.7105
"3273","sugarpinesp","sugarpine2","prefire","2020","[<20]",2,20,49.421
"3274","sugarpinesp","sugarpine2","prefire","2020","[40-60]",1,10,24.7105
"3275","sugarpinesp","sugarpine2","prefire","2020","[>100]",1,10,24.7105
"3276","sugarpinesp","sugarpine2","prefire","2020","[80-100]",1,10,24.7105
"3277","valentine","vr1","prefire","2020","[60-80]",1,10,24.7105
"3278","valentine","vr1","prefire","2020","[20-40]",2,20,49.421
"3279","valentine","vr1","prefire","2020","[<20]",3,30,74.1315
"3280","valentine","vr1","prefire","2020","[40-60]",4,40,98.842
"3281","valentine","vr1","prefire","2020","[>100]",0,0,0
"3282","valentine","vr1","prefire","2020","[80-100]",0,0,0
"3283","valentine","vr1","prefire","2021","[60-80]",1,10,24.7105
"3284","valentine","vr1","prefire","2021","[20-40]",3,30,74.1315
"3285","valentine","vr1","prefire","2021","[<20]",3,30,74.1315
"3286","valentine","vr1","prefire","2021","[40-60]",2,20,49.421
