site,year,plotid,observer,pre_post_fire,postTime,species,status,lifeform,layer_code,percent,notes
BurtonSP,2019,burton18,nr,prefire,,chiumb,live,FB,,tr,
BurtonSP,2019,burton2,ag,prefire,,chiumb,live,FB,,tr,
BurtonSP,2019,burton21,nr,prefire,,chiumb,live,FB,,tr,
BurtonSP,2019,burton3,ag,prefire,,chiumb,live,FB,,1,
BurtonSP,2019,burton1,ag,prefire,,coltor,live,FB,,tr,
BurtonSP,2019,burton12,nr,prefire,,coltor,live,FB,,tr,
BurtonSP,2019,burton20,nr,prefire,,coltor,live,FB,,tr,
BurtonSP,2019,burton1,ag,prefire,,cormac,live,FB,,tr,
BurtonSP,2019,burton16,nr,prefire,,cormac,live,FB,,tr,
BurtonSP,2019,burton2,ag,prefire,,cormac,live,FB,,tr,
BurtonSP,2019,burton6,ag,prefire,,cormac,live,FB,,tr,
BurtonSP,2019,burton19,nr,prefire,,elci,live,GR,,tr,
BurtonSP,2019,burton20,nr,prefire,,elci,live,GR,,tr,
BurtonSP,2019,burton16,nr,prefire,,elyely,live,GR,,tr,
BurtonSP,2019,burton19,nr,prefire,,elyely,live,GR,,tr,
BurtonSP,2019,burton20,nr,prefire,,elyely,live,GR,,tr,
BurtonSP,2019,burton3,ag,prefire,,elyely,live,GR,,tr,
BurtonSP,2019,burton4,nr,prefire,,elyely,live,GR,,tr,
BurtonSP,2019,burton3,ag,prefire,,elmu,live,GR,,tr,
BurtonSP,2019,burton12,nr,prefire,,erinud,live,FB,,tr,
BurtonSP,2019,burton19,nr,prefire,,erinud,live,GR,,tr,
BurtonSP,2019,burton9,nr,prefire,,eriurs,live,FB,,tr,
BurtonSP,2019,burton3,ag,prefire,,frvi,live,FB,,tr,
BurtonSP,2019,burton1,ag,prefire,,gaydif,live,FB,,tr,
BurtonSP,2019,burton10,nr,prefire,,gaydif,live,FB,,tr,
BurtonSP,2019,burton11,nr,prefire,,gaydif,live,FB,,tr,
BurtonSP,2019,burton15,nr,prefire,,gaydif,live,FB,,tr,
BurtonSP,2019,burton16,nr,prefire,,gaydif,live,FB,,tr,
BurtonSP,2019,burton2,ag,prefire,,gaydif,live,FB,,tr,
BurtonSP,2019,burton20,nr,prefire,,gaydif,live,FB,,tr,
BurtonSP,2019,burton4,nr,prefire,,gaydif,live,FB,,tr,
BurtonSP,2019,burton7,nr,prefire,,gaydif,live,FB,,tr,
BurtonSP,2019,burton8,nr,prefire,,gaydif,live,FB,,tr,
BurtonSP,2019,burton9,nr,prefire,,gaydif,live,FB,,tr,
BurtonSP,2019,burton3,ag,prefire,,gaydiff,live,FB,,tr,
BurtonSP,2019,burton24,nr,prefire,,pelargonium,live,FB,,tr,lost sample
BurtonSP,2019,burton19,nr,prefire,,hiealb,live,FB,,tr,
BurtonSP,2019,burton23,nr,prefire,,hiealb,live,FB,,tr,
BurtonSP,2019,burton3,ag,prefire,,holhee,live,FB,,tr,
BurtonSP,2019,burton1,ag,prefire,,kelgal,live,FB,,tr,
BurtonSP,2019,burton3,ag,prefire,,kelgal,live,FB,,tr,
BurtonSP,2019,burton5,ag,prefire,,kelgal,live,FB,,tr,
BurtonSP,2019,burton3,ag,prefire,,lepcil,live,FB,,tr,
BurtonSP,2019,burton3,ag,prefire,,loncon,live,SH,SL,1,
BurtonSP,2019,burton3,ag,prefire,,loncon,live,SH,SM,0.5,
BurtonSP,2019,burton16,nr,prefire,,lupalf,live,FB,,0.5,
BurtonSP,2019,burton24,nr,prefire,,luparb,live,FB,,tr,
BurtonSP,2019,burton16,nr,prefire,,lupbre,live,FB,,tr,
BurtonSP,2019,burton20,nr,prefire,,lupbre,live,FB,,tr,
BurtonSP,2019,burton4,nr,prefire,,lupbre ,live,FB,,tr,
BurtonSP,2019,burton4,nr,prefire,,lupine,live,FB,,tr,
BurtonSP,2019,burton4,nr,prefire,,lupine,dead,FB,,tr,
BurtonSP,2019,burton12,nr,prefire,,lupin12,live,FB,,0.5,
BurtonSP,2019,burton3,ag,prefire,,madele,live,FB,,tr,
BurtonSP,2019,burton1,ag,prefire,,monodo,live,FB,,tr,
BurtonSP,2019,burton12,nr,prefire,,monodo,live,FB,,tr,
BurtonSP,2019,burton16,nr,prefire,,monodo,live,FB,,tr,
BurtonSP,2019,burton19,nr,prefire,,monodo,live,FB,,tr,
BurtonSP,2019,burton20,nr,prefire,,monodo,live,FB,,tr,
BurtonSP,2019,burton3,ag,prefire,,monodo,live,FB,,0.3,
BurtonSP,2019,burton4,nr,prefire,,monodo,live,FB,,tr,
BurtonSP,2019,burton5,ag,prefire,,monodo,live,FB,,tr,
BurtonSP,2019,burton12,nr,prefire,,monodo,live,FB,,tr,
BurtonSP,2019,burton19,nr,prefire,,monodo,live,FB,,tr,
BurtonSP,2019,burton19,nr,prefire,,monodo,live,FB,,tr,
BurtonSP,2019,burton22,nr,prefire,,monodo,live,FB,,tr,
BurtonSP,2019,burton23,nr,prefire,,monodo,live,FB,,tr,
BurtonSP,2019,burton9,nr,prefire,,monodo,live,FB,,tr,
BurtonSP,2019,burton10,nr,prefire,,ortsec,live,FB,,tr,
BurtonSP,2019,burton14,nr,prefire,,ortsec,live,FB,,tr,
BurtonSP,2019,burton15,nr,prefire,,ortsec,live,FB,,tr,
BurtonSP,2019,burton3,ag,prefire,,osmber,live,FB,,tr,
BurtonSP,2019,burton3,ag,prefire,,penneo,live,FB,,0.25,
BurtonSP,2019,burton4,nr,prefire,,penneo,live,FB,,tr,
BurtonSP,2019,burton19,nr,prefire,,penpar,live,FB,,tr,
BurtonSP,2019,burton20,nr,prefire,,penpar,live,FB,,tr,
BurtonSP,2019,burton21,nr,prefire,,penpar,live,FB,,tr,
BurtonSP,2019,burton10,nr,prefire,,penros,live,FB,,tr,
BurtonSP,2019,burton10,nr,prefire,,penros,live,FB,,tr,
BurtonSP,2019,burton3,ag,prefire,,penspe,live,FB,,tr,
BurtonSP,2019,burton7,nr,prefire,,penstemon,live,FB,,tr,
BurtonSP,2019,burton9,nr,prefire,,penstemon,live,FB,,tr,
BurtonSP,2019,burton19,nr,prefire,,pedsem,live,FB,,tr,
BurtonSP,2019,burton23,nr,prefire,,pedsem,live,FB,,tr,
BurtonSP,2019,burton3,ag,prefire,,pedsem,live,FB,,tr,
BurtonSP,2019,burton4,nr,prefire,,pedsem,live,FB,,tr,
BurtonSP,2019,burton1,ag,prefire,,phahas,live,FB,,tr,
BurtonSP,2019,burton2,ag,prefire,,phahas,live,FB,,tr,
BurtonSP,2019,burton10,nr,prefire,,phahyd,live,FB,,tr,
BurtonSP,2019,burton11,nr,prefire,,phahyd,live,FB,,tr,
BurtonSP,2019,burton8,nr,prefire,,phahyd,live,FB,,,
BurtonSP,2019,burton9,nr,prefire,,phahyd,live,FB,,tr,
BurtonSP,2019,burton23,nr,prefire,,pico,live,TR,TOV,4,
BurtonSP,2019,burton3,ag,prefire,,pico,live,TR,TOV,4,
BurtonSP,2019,burton3,ag,prefire,,pico,live,TR,TSE,tr,
