site,plotid,pre_post_fire,postTime,fuelType,mass_tonAcre
independence,Indy01,prefire,NA,mass_100hr,0.276698414634146
independence,Indy01,prefire,NA,total_fine,0.722976866341463
independence,Indy01,prefire,NA,total_cwd,0
independence,Indy01,prefire,NA,total_fuel,0.722976866341463
independence,Indy01,prefire,NA,litter_depth_cm,2.8125
independence,Indy01,prefire,NA,duff_depth_cm,1.625
independence,Indy01,prefire,NA,fuel_depth_cm,6.475
independence,Indy03,prefire,NA,mass_1hr,0.16349267195122
independence,Indy03,prefire,NA,mass_10hr,2.15560095365854
independence,Indy03,prefire,NA,mass_100hr,2.49028573170732
independence,Indy03,prefire,NA,total_fine,4.80937935731707
independence,Indy03,prefire,NA,total_cwd,0.648025375026981
independence,Indy03,prefire,NA,total_fuel,5.45740473234405
independence,Indy03,prefire,NA,litter_depth_cm,3.1625
independence,Indy03,prefire,NA,duff_depth_cm,2.775
independence,Indy03,prefire,NA,fuel_depth_cm,5.8
independence,Indy05,prefire,NA,mass_1hr,0.127160967073171
independence,Indy05,prefire,NA,mass_10hr,1.25163926341463
independence,Indy05,prefire,NA,mass_100hr,0.276698414634146
independence,Indy05,prefire,NA,total_fine,1.65549864512195
independence,Indy05,prefire,NA,total_cwd,0.866443392510253
independence,Indy05,prefire,NA,total_fuel,2.5219420376322
independence,Indy05,prefire,NA,litter_depth_cm,2.2875
independence,Indy05,prefire,NA,duff_depth_cm,0.9875
independence,Indy05,prefire,NA,fuel_depth_cm,3.3625
independence,Indy06,prefire,NA,mass_1hr,0.0908292621951219
independence,Indy06,prefire,NA,mass_10hr,0.625819631707317
independence,Indy06,prefire,NA,mass_100hr,0
independence,Indy06,prefire,NA,total_fine,0.716648893902439
independence,Indy06,prefire,NA,total_cwd,0
independence,Indy06,prefire,NA,total_fuel,0.716648893902439
independence,Indy06,prefire,NA,litter_depth_cm,4.1625
independence,Indy06,prefire,NA,duff_depth_cm,2.275
independence,Indy06,prefire,NA,fuel_depth_cm,6.4375
independence,Indy07,prefire,NA,mass_1hr,0.15622633097561
independence,Indy07,prefire,NA,mass_10hr,0.903961690243902
independence,Indy07,prefire,NA,mass_100hr,0.276698414634146
independence,Indy07,prefire,NA,total_fine,1.33688643585366
independence,Indy07,prefire,NA,total_cwd,1.28076586984675
independence,Indy07,prefire,NA,total_fuel,2.61765230570041
independence,Indy07,prefire,NA,litter_depth_cm,1.65
independence,Indy07,prefire,NA,duff_depth_cm,0.2
independence,Indy07,prefire,NA,fuel_depth_cm,2.1625
independence,Indy08,prefire,NA,mass_1hr,0.0835629212195122
independence,Indy08,prefire,NA,mass_10hr,0.556284117073171
independence,Indy08,prefire,NA,mass_100hr,0.276698414634146
independence,Indy08,prefire,NA,total_fine,0.916545452926829
independence,Indy08,prefire,NA,total_cwd,0
independence,Indy08,prefire,NA,total_fuel,0.916545452926829
independence,Indy08,prefire,NA,litter_depth_cm,2.5625
independence,Indy08,prefire,NA,duff_depth_cm,0.6625
independence,Indy08,prefire,NA,fuel_depth_cm,3.2625
independence,Indy09,prefire,NA,mass_1hr,0.225256570243903
independence,Indy09,prefire,NA,mass_10hr,2.01652992439024
independence,Indy09,prefire,NA,mass_100hr,0.830095243902439
independence,Indy09,prefire,NA,total_fine,3.07188173853659
independence,Indy09,prefire,NA,total_cwd,3.77822524147421
independence,Indy09,prefire,NA,total_fuel,6.85010698001079
independence,Indy09,prefire,NA,litter_depth_cm,2.85
independence,Indy09,prefire,NA,duff_depth_cm,2.175
independence,Indy09,prefire,NA,fuel_depth_cm,4.4125
independence,Indy10,prefire,NA,mass_1hr,0.0254321934146341
independence,Indy10,prefire,NA,mass_10hr,0.278142058536585
independence,Indy10,prefire,NA,mass_100hr,0
independence,Indy10,prefire,NA,total_fine,0.303574251951219
independence,Indy10,prefire,NA,total_cwd,0
independence,Indy10,prefire,NA,total_fuel,0.303574251951219
independence,Indy10,prefire,NA,litter_depth_cm,3.425
independence,Indy10,prefire,NA,duff_depth_cm,0.975
independence,Indy10,prefire,NA,fuel_depth_cm,4.475
independence,Indy11,prefire,NA,mass_1hr,0.123527796585366
independence,Indy11,prefire,NA,mass_10hr,1.11256823414634
independence,Indy11,prefire,NA,mass_100hr,0.276698414634146
independence,Indy11,prefire,NA,total_fine,1.51279444536585
independence,Indy11,prefire,NA,total_cwd,0.665366899147421
independence,Indy11,prefire,NA,total_fuel,2.17816134451327
independence,Indy11,prefire,NA,litter_depth_cm,5.7
independence,Indy11,prefire,NA,duff_depth_cm,2.6625
independence,Indy11,prefire,NA,fuel_depth_cm,8.5875
independence,Indy12,prefire,NA,mass_1hr,0.119894626097561
independence,Indy12,prefire,NA,mass_10hr,0.556284117073171
independence,Indy12,prefire,NA,mass_100hr,1.66019048780488
independence,Indy12,prefire,NA,total_fine,2.33636923097561
independence,Indy12,prefire,NA,total_cwd,0.877724510306497
independence,Indy12,prefire,NA,total_fuel,3.21409374128211
independence,Indy12,prefire,NA,litter_depth_cm,3.875
independence,Indy12,prefire,NA,duff_depth_cm,0.875
independence,Indy12,prefire,NA,fuel_depth_cm,10
independence,Indy13,prefire,NA,mass_1hr,0.345151196341463
independence,Indy13,prefire,NA,mass_10hr,1.52978132195122
independence,Indy13,prefire,NA,mass_100hr,1.93688890243902
independence,Indy13,prefire,NA,total_fine,3.81182142073171
independence,Indy13,prefire,NA,total_cwd,1.16279482786531
independence,Indy13,prefire,NA,total_fuel,4.97461624859702
independence,Indy13,prefire,NA,litter_depth_cm,3
independence,Indy13,prefire,NA,duff_depth_cm,3.6875
independence,Indy13,prefire,NA,fuel_depth_cm,9
independence,Indy14,prefire,NA,mass_1hr,0.138060478536585
independence,Indy14,prefire,NA,mass_10hr,0.486748602439024
independence,Indy14,prefire,NA,mass_100hr,0
independence,Indy14,prefire,NA,total_fine,0.62480908097561
independence,Indy14,prefire,NA,total_cwd,2.86682775064753
independence,Indy14,prefire,NA,total_fuel,3.49163683162314
independence,Indy14,prefire,NA,litter_depth_cm,2.9875
independence,Indy14,prefire,NA,duff_depth_cm,1.6875
independence,Indy14,prefire,NA,fuel_depth_cm,4.85
independence,Indy16,prefire,NA,mass_1hr,0.0726634097560976
