site,plotid,year,pre_post_fire,postTime,fuelType,mass_tonsAcre
bearmountain,BM02,2021,postfire,2yr,litter_load,1.1669638107335587
bearmountain,BM02,2021,postfire,2yr,litter_depth_cm,2.1125000000000003
bearmountain,BM02,2021,postfire,2yr,duff_depth_cm,0.25
bearmountain,BM02,2021,postfire,2yr,fuel_depth_cm,1.9375
bearmountain,BM03,2019,postfire,immediate,mass_1hr,0.00555630652270776
bearmountain,BM03,2019,postfire,immediate,mass_10hr,0.15529165583256102
bearmountain,BM03,2019,postfire,immediate,mass_100hr,0.6979734587256523
bearmountain,BM03,2019,postfire,immediate,mass_cwd_sound,2.226499135738975
bearmountain,BM03,2019,postfire,immediate,mass_cwd_rotten,0
bearmountain,BM03,2019,postfire,immediate,total_fine,0.8588214210809213
bearmountain,BM03,2019,postfire,immediate,total_cwd,2.226499135738975
bearmountain,BM03,2019,postfire,immediate,total_fuel,4.782910789759454
bearmountain,BM03,2019,postfire,immediate,duff_load,0.31794097829246176
bearmountain,BM03,2019,postfire,immediate,litter_load,1.3796492546470946
bearmountain,BM03,2019,postfire,immediate,litter_depth_cm,1.00625
bearmountain,BM03,2019,postfire,immediate,duff_depth_cm,0.125
bearmountain,BM03,2019,prefire,NA,mass_1hr,0.027781532613538808
bearmountain,BM03,2019,prefire,NA,mass_10hr,0.2588194263876018
bearmountain,BM03,2019,prefire,NA,mass_100hr,3.9551829327786967
bearmountain,BM03,2019,prefire,NA,mass_cwd_sound,3.8145563506274978
bearmountain,BM03,2019,prefire,NA,mass_cwd_rotten,0.17406864674113542
bearmountain,BM03,2019,prefire,NA,total_fine,4.2417838917798365
bearmountain,BM03,2019,prefire,NA,total_cwd,3.988624997368633
bearmountain,BM03,2019,prefire,NA,total_fuel,22.47414756128123
bearmountain,BM03,2019,prefire,NA,duff_load,5.246026141825621
bearmountain,BM03,2019,prefire,NA,litter_load,8.99771253030714
bearmountain,BM03,2019,prefire,NA,litter_depth_cm,6.5625
bearmountain,BM03,2019,prefire,NA,duff_depth_cm,2.0625
bearmountain,BM03,2021,postfire,2yr,mass_1hr,0.027781532613538808
bearmountain,BM03,2021,postfire,2yr,mass_10hr,0.36234719694264245
bearmountain,BM03,2021,postfire,2yr,mass_100hr,0.31021042610028965
bearmountain,BM03,2021,postfire,2yr,mass_cwd_sound,2.3663018212307496
bearmountain,BM03,2021,postfire,2yr,mass_cwd_rotten,0
bearmountain,BM03,2021,postfire,2yr,total_fine,0.7003391556564711
bearmountain,BM03,2021,postfire,2yr,total_cwd,2.3663018212307496
bearmountain,BM03,2021,postfire,2yr,total_fuel,9.71171975348778
bearmountain,BM03,2021,postfire,2yr,duff_load,2.0348222610717555
bearmountain,BM03,2021,postfire,2yr,litter_load,4.6102565155288024
bearmountain,BM03,2021,postfire,2yr,litter_depth_cm,3.3625000000000003
bearmountain,BM03,2021,postfire,2yr,duff_depth_cm,0.8
bearmountain,BM03,2021,postfire,2yr,fuel_depth_cm,3.8
bearmountain,BM04,2019,postfire,immediate,mass_1hr,0.041975341037053034
bearmountain,BM04,2019,postfire,immediate,mass_10hr,0.20177622817717114
bearmountain,BM04,2019,postfire,immediate,mass_100hr,0
bearmountain,BM04,2019,postfire,immediate,mass_cwd_sound,0
bearmountain,BM04,2019,postfire,immediate,mass_cwd_rotten,0
bearmountain,BM04,2019,postfire,immediate,total_fine,0.2437515692142241
bearmountain,BM04,2019,postfire,immediate,total_cwd,0
bearmountain,BM04,2019,postfire,immediate,total_fuel,1.0610651843338754
bearmountain,BM04,2019,postfire,immediate,duff_load,0.3628400460351959
bearmountain,BM04,2019,postfire,immediate,litter_load,0.4544735690844555
bearmountain,BM04,2019,postfire,immediate,litter_depth_cm,0.7687500000000002
bearmountain,BM04,2019,postfire,immediate,duff_depth_cm,0.125
bearmountain,BM04,2019,prefire,NA,mass_1hr,0.1319225004021667
bearmountain,BM04,2019,prefire,NA,mass_10hr,0.15133217113287828
bearmountain,BM04,2019,prefire,NA,mass_100hr,0
bearmountain,BM04,2019,prefire,NA,mass_cwd_sound,0.40132205437368734
bearmountain,BM04,2019,prefire,NA,mass_cwd_rotten,0
bearmountain,BM04,2019,prefire,NA,total_fine,0.28325467153504497
bearmountain,BM04,2019,prefire,NA,total_cwd,0.40132205437368734
