site,year,Plot ID,species_id,status,lifeform,layer_code,percent,notes,,,,,,,,,,,,,
bearmtn,2019,BM11,tallflower,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM11,aster2,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM11,cade,dead,TR,TSA,0.5,,,,,,,,,,,,,,
bearmtn,2019,BM11,pipo,live,TR,TSE,tr,,,,,,,,,,,,,,
bearmtn,2019,BM11,cade,live,TR,TOV,2,,,,,,,,,,,,,,
bearmtn,2019,BM11,pipo,live,TR,TOV,0.5,,,,,,,,,,,,,,
bearmtn,2019,BM12,Fgrass ,live,GR,,0.5,,,,,,,,,,,,,,
bearmtn,2019,BM12,4forb,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM12,forktoothedfb,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM12,aster2,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM12,droopygrass,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM12,commonforb,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM12,smallFgrass,live,GR,,0.5,,,,,,,,,,,,,,
bearmtn,2019,BM12,grass1,live,GR,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM12,gayspp,live,FB,,tr,,,,,,,,,,,,,,
bearmtn,2019,BM12,cade,live,TR,TSE,5.5,,,,,,,,,,,,,,
bearmtn,2019,BM12,pipo,live,TR,TSE,15,,,,,,,,,,,,,,
bearmtn,2019,BM12,lupbre,live,FB,,0.5,,,,,,,,,,,,,,
bearmtn,2019,BM12,chfo,live,SH,SL,2,,,,,,,,,,,,,,
bearmtn,2019,BM12,chfo,live,SH,SM,1,,,,,,,,,,,,,,
bearmtn,2019,BM12,arvi,live,SH,SL,2,,,,,,,,,,,,,,
bearmtn,2019,BM12,arvi,live,SH,SM,1,,,,,,,,,,,,,,
bearmtn,2019,BM12,abco,live,TR,TSE,1.5,,,,,,,,,,,,,,
bearmtn,2019,BM12,pila,live,TR,TSE,2,,,,,,,,,,,,,,
bearmtn,2019,BM12,quke,live,TR,TSE,tr,,,,,,,,,,,,,,
bearmtn,2019,BM12,cein,live,SH,SL,1,,,,,,,,,,,,,,
bearmtn,2019,BM12,cein,live,SH,SM,1,,,,,,,,,,,,,,
