site,plotid,year,pre_post_fire,postTime,plot_id_time,azimuth,duff_depth_cm,litter_depth_cm,fuel_depth_cm,mass_1hr,mass_10hr,mass_100hr,mass_cwd_sound,mass_cwd_rotten,total_fine,total_cwd,total_fuel,site_plotid_time
springsfire,springs1,2019,postfire,immediate,springs1 postfire immediate,90,0.5,0.05,,0,0,0,0.822657565292467,0,0,0.822657565292467,0.822657565292467,springsfire springs1 postfire immediate
springsfire,springs1,2019,prefire,"",springs1 prefire NA,0,10,4,,0.058130727804878,1.66885235121951,0,0,0,1.72698307902439,0,1.72698307902439,springsfire springs1 prefire NA
springsfire,springs1,2019,prefire,"",springs1 prefire NA,180,1,0.525,,0,1.9469944097561,0,0,0,1.9469944097561,0,1.9469944097561,springsfire springs1 prefire NA
springsfire,springs1,2019,prefire,"",springs1 prefire NA,270,2.5,9,,0,0.834426175609756,3.32038097560976,7.61810112238291,0,4.15480715121951,7.61810112238291,11.7729082736024,springsfire springs1 prefire NA
springsfire,springs1,2019,prefire,"",springs1 prefire NA,90,0.025,2,,0,0.278142058536585,1.10679365853659,0,0,1.38493571707317,0,1.38493571707317,springsfire springs1 prefire NA
springsfire,springs1,2020,postfire,1yr,springs1 postfire 1yr,0,0.1,0.15,0.35,0.029065363902439,0,0,0,0,0.029065363902439,0,0.029065363902439,springsfire springs1 postfire 1yr
springsfire,springs1,2020,postfire,1yr,springs1 postfire 1yr,180,0.05,0.25,0.4,0.0145326819512195,0.278142058536585,0,0,0,0.292674740487805,0,0.292674740487805,springsfire springs1 postfire 1yr
springsfire,springs1,2020,postfire,1yr,springs1 postfire 1yr,270,0.05,0,0.15,0,0,0,0,0,0,0,0,springsfire springs1 postfire 1yr
springsfire,springs1,2020,postfire,1yr,springs1 postfire 1yr,90,0.1,0.15,0.4,0,0.278142058536585,0,0,0,0.278142058536585,0,0.278142058536585,springsfire springs1 postfire 1yr
springsfire,springs10,2019,prefire,"",springs10 prefire NA,0,0,3,,0.174392183414634,0.556284117073171,1.10679365853659,0,30.900770559033,1.83746995902439,30.900770559033,32.7382405180574,springsfire springs10 prefire NA
springsfire,springs10,2019,prefire,"",springs10 prefire NA,180,0,1,,0,0,0,1.24615583854954,4.73149794949277,0,5.97765378804231,5.97765378804231,springsfire springs10 prefire NA
springsfire,springs10,2019,prefire,"",springs10 prefire NA,270,0.05,2,,0.0435980458536585,0,0,0,0,0.0435980458536585,0,0.0435980458536585,springsfire springs10 prefire NA
