site,plotid,pre_post_fire,year,diamclass,status,BA_m2_sum,n_trees_diamclass,mean_dbh_cm,mean_ht,n_trees_ha,BA_m2_ha
BlissSP,bliss11,prefire,2019,[20-40],LIVE,6.96309664325112,9,31.0555555555556,15.9222222222222,36.42174,28.1786772817072
BlissSP,bliss11,prefire,2019,[40-60],DEAD,3.64369769944978,2,47.8,2.75,8.09372,14.7455344719953
BlissSP,bliss11,prefire,2019,[40-60],LIVE,7.43462613861005,4,48.4,20.375,16.18744,30.0868911352955
BlissSP,bliss11,prefire,2019,[60-80],DEAD,4.53645979178366,1,76,2,4.04686,18.3584176729776
BlissSP,bliss11,prefire,2019,[60-80],LIVE,6.22479095373099,2,62.95,23.6,8.09372,25.1908575190158
BlissSP,bliss12,prefire,2019,[<20],DEAD,0.572296079722819,5,11.22,4.4,20.2343,2.31600211318709
BlissSP,bliss12,prefire,2019,[<20],LIVE,0.186265028431339,1,15.4,4.7,4.04686,0.753788492957648
BlissSP,bliss12,prefire,2019,[20-40],DEAD,0.397607820219958,1,22.5,5.9,4.04686,1.60906318333534
BlissSP,bliss12,prefire,2019,[40-60],DEAD,1.40530507978542,1,42.3,15.9,4.04686,5.68707291518042
BlissSP,bliss12,prefire,2019,[40-60],LIVE,1.42865693067863,1,42.65,18,4.04686,5.78157458648614
BlissSP,bliss12,prefire,2019,[60-80],LIVE,9.17472485700231,2,76.425,26.3,8.09372,37.1288270348084
BlissSP,bliss12,prefire,2019,[80-100],LIVE,7.63560952862346,1,98.6,30.3,4.04686,30.9002427770051
BlissSP,bliss13,prefire,2019,[20-40],DEAD,1.25036173011037,1,39.9,15,4.04686,5.06003887111446
BlissSP,bliss13,prefire,2019,[20-40],LIVE,2.57219469308991,4,28.2,10.375,16.18744,10.4093118156778
BlissSP,bliss13,prefire,2019,[40-60],DEAD,1.82466842913149,1,48.2,14,4.04686,7.38417767911505
BlissSP,bliss13,prefire,2019,[40-60],LIVE,8.32798513354811,5,45.76,16.4,20.2343,33.7021899175505
BlissSP,bliss13,prefire,2019,[60-80],LIVE,6.75961568707811,2,65.55,15.25,8.09372,27.3552183394089
BlissSP,bliss14,prefire,2019,[20-40],DEAD,0.518747632942381,1,25.7,11,4.04686,2.0992990458492
BlissSP,bliss14,prefire,2019,[20-40],LIVE,1.38470408595951,2,29.3,11,8.09372,5.60370357730608
BlissSP,bliss14,prefire,2019,[40-60],DEAD,1.29461891661782,1,40.6,7.5,4.04686,5.23914150890398
BlissSP,bliss14,prefire,2019,[40-60],LIVE,13.7640792515954,7,49.6714285714286,20.4285714285714,28.32802,55.7013017601113
BlissSP,bliss15,prefire,2019,[<20],LIVE,0.532374291077326,2,18.4,10.8,8.09372,2.15444422358919
BlissSP,bliss15,prefire,2019,[20-40],LIVE,4.08167498526837,6,28.9833333333333,12.6833333333333,24.28116,16.5179672308832
BlissSP,bliss15,prefire,2019,[40-60],DEAD,3.69843995143858,2,48.5,19.55,8.09372,14.9670687018787
BlissSP,bliss15,prefire,2019,[40-60],LIVE,9.12528993310266,5,48,19.28,20.2343,36.9287708186758
BlissSP,bliss15,prefire,2019,[80-100],LIVE,5.42365341113905,1,83.1,27.5,4.04686,21.9487660434022
BlissSP,bliss2,prefire,2019,[<20],LIVE,0.251484491919863,2,11.9,3.7,8.09372,1.01772253097082
BlissSP,bliss2,prefire,2019,[20-40],DEAD,1.61918470764181,2,31.55,3.8,8.09372,6.55261382596735
BlissSP,bliss2,prefire,2019,[20-40],LIVE,2.30988741447843,3,31.2,11.8333333333333,12.14058,9.34779098215618
BlissSP,bliss2,prefire,2019,[40-60],LIVE,8.74977732671449,5,47.17,17.26,20.2343,35.4091238723878
BlissSP,bliss2,prefire,2019,[80-100],DEAD,7.29110444172621,1,96.35,16.3,4.04686,29.5060789210441
BlissSP,bliss3 ,prefire,2019,[<20],DEAD,0.147411381288067,1,13.7,7,4.04686,0.596553222479427
BlissSP,bliss3 ,prefire,2019,[20-40],DEAD,0.865697271623204,1,33.2,18.1,4.04686,3.50335566064108
BlissSP,bliss3 ,prefire,2019,[20-40],LIVE,6.31388652138679,11,26.6636363636364,11.1818181818182,44.51546,25.5514148079394
BlissSP,bliss3 ,prefire,2019,[40-60],LIVE,8.10349477650422,4,50.425,19.075,16.18744,32.7937088712439
BlissSP,bliss3 ,prefire,2019,[60-80],DEAD,3.19691610021951,1,63.8,3,4.04686,12.9374718893343
